county,court_name
New York,Harlem Community Justice Center
New York,New York County Civil Court
Kings,Kings County Civil Court
Kings,Redhook Community Justice Center
Queens,Queens County Civil Court
Bronx,Bronx County Civil Court
Richmond,Richmond County Civil Court
Albany,Albany City Court
Albany,Cohoes City Court
Albany,Watervliet City Court
Broome,Binghamton City Court
Cattaraugus,Olean City Court
Cattaraugus,Salamanca City Court
Cayuga,Auburn City Court
Chautauqua,Dunkirk City Court
Chautauqua,Jamestown City Court
Chemung,Elmira City Court
Chenango,Norwich City Court
Clinton,Plattsburgh City Court
Columbia,Hudson City Court
Cortland,Cortland City Court
Dutchess,Beacon City Court
Dutchess,Poughkeepsie City Court
Erie,Buffalo City Court
Erie,Buffalo City Court Violations
Erie,Lackawanna City Court
Erie,Tonawanda City Court
Fulton,Gloversville City Court
Fulton,Johnstown City Court
Genesee,Batavia City Court
Herkimer,Little Falls City Court
Jefferson,Watertown City Court
Madison,Oneida City Court
Monroe,Rochester City Court
Montgomery,Amsterdam City Court
Nassau,Glen Cove City Court
Nassau,Long Beach City Court
Nassau,Nassau County District Court- 1st District
Nassau,Nassau County District Court- 2nd District
Nassau,Nassau County District Court- 3rd District
Nassau,Nassau County District Court- 4th District
Niagara,Lockport City Court
Niagara,Niagara Falls City Court
Niagara,North Tonawanda City Court
Oneida,Rome City Court
Oneida,Sherrill City Court
Oneida,Utica City Court
Onondaga,Syracuse City Court
Ontario,Canandaigua City Court
Orange,Middletown City Court
Orange,Newburgh City Court
Orange,Port Jervis City Court
Oswego,Fulton City Court
Oswego,Oswego City Court
Otsego,Oneonta City Court
Rensselaer,Rensselaer City Court
Rensselaer,Troy City Court
Saratoga,Mechanicville City Court
Saratoga,Saratoga Springs City Court
Schenectady,Schenectady City Court
Seneca,Geneva City Court
St. Lawrence,Ogdensburg City Court
Steuben,Corning City Court
Steuben,Hornell City Court
Suffolk,Suffolk County District Court- 1st District
Suffolk,Suffolk County District Court- 2nd District
Suffolk,Suffolk County District Court- 3rd District
Suffolk,Suffolk County District Court- 4th District
Suffolk,Suffolk County District Court- 5th District
Suffolk,Suffolk County District Court- 6th District
Tompkins,Ithaca City Court
Ulster,Kingston City Court
Warren,Glens Falls City Court
Westchester,Mt. Vernon City Court
Westchester,New Rochelle City Court
Westchester,Peekskill City Court
Westchester,Rye City Court
Westchester,White Plains City Court
Westchester,Yonkers City Court
