county,court_name
ALBANY      ,BERNE T.J.                    
ALBANY      ,BETHLEHEM T.J.                
ALBANY      ,COEYMANS T.J.                 
ALBANY      ,COLONIE T.J.                  
ALBANY      ,GREEN ISLAND T.J.             
ALBANY      ,GUILDERLAND T.J.              
ALBANY      ,KNOX T.J.                     
ALBANY      ,NEW SCOTLAND T.J.             
ALBANY      ,RENSSELAERVILLE T.J.          
ALBANY      ,WESTERLO T.J.                 
ALBANY      ,ALTAMONT V.J.                 
ALBANY      ,MENANDS V.J.                  
ALBANY      ,RAVENA V.J.                   
ALBANY      ,VOORHEESVILLE  V.J.           
ALLEGANY    ,ALFRED T.J.                   
ALLEGANY    ,ALLEN T.J.                    
ALLEGANY    ,ALMA T.J.                     
ALLEGANY    ,ALMOND T.J.                   
ALLEGANY    ,AMITY TOWN CT                 
ALLEGANY    ,ANDOVER T.J.                  
ALLEGANY    ,ANGELICA T.J.                 
ALLEGANY    ,BELFAST T.J.                  
ALLEGANY    ,BIRDSALL T.J.                 
ALLEGANY    ,BOLIVAR T.J.                  
ALLEGANY    ,BURNS T.J.                    
ALLEGANY    ,CANEADEA T.J.                 
ALLEGANY    ,CENTERVILLE T.J.              
ALLEGANY    ,CLARKSVILLE T.J.              
ALLEGANY    ,CUBA T.J.                     
ALLEGANY    ,FRIENDSHIP T.J.               
ALLEGANY    ,GENESEE T.J.                  
ALLEGANY    ,GRANGER T.J.                  
ALLEGANY    ,GROVE T.J.                    
ALLEGANY    ,HUME T.J.                     
ALLEGANY    ,INDEPENDENCE T.J.             
ALLEGANY    ,NEW HUDSON T.J.               
ALLEGANY    ,RUSHFORD T.J.                 
ALLEGANY    ,SCIO T.J.                     
ALLEGANY    ,WARD T.J.                     
ALLEGANY    ,WELLSVILLE T.J.               
ALLEGANY    ,WEST ALMOND T.J.              
ALLEGANY    ,WILLING T.J.                  
ALLEGANY    ,WIRT T.J.                     
ALLEGANY    ,ALFRED V.J.                   
ALLEGANY    ,ANGELICA V.J.                 
ALLEGANY    ,BELMONT V.J.                  
ALLEGANY    ,CANASERAGA V.J.               
ALLEGANY    ,BOLIVAR V.J.                  
ALLEGANY    ,RICHBURG V.J.                 
ALLEGANY    ,WELLSVILLE V.J.               
ALLEGANY    ,ANDOVER V.J.                  
BROOME      ,BARKER T.J.                   
BROOME      ,BINGHAMTON T.J.               
BROOME      ,CHENANGO T.J.                 
BROOME      ,COLESVILLE T.J.               
BROOME      ,CONKLIN T.J.                  
BROOME      ,DICKINSON T.J.                
BROOME      ,FENTON T.J.                   
BROOME      ,KIRKWOOD T.J.                 
BROOME      ,LISLE T.J.                    
BROOME      ,MAINE T.J.                    
